"","id","name"
"1","1","None"
"2","2","Conifer Plantation"
"3","3","Evergreen Forest"
"4","4","Deciduous Forest"
"5","5","Mixed Forest"
"6","6","Native Grassland/savanna, ungrazed (or low-intensity grazing)"
"7","7","Native Grassland/savanna, grazed or hay"
"8","8","Non-native Grassland/savanna"
"9","9","Artificial Wetland"
"10","10","Natural Wetland"
"11","11","Edge Features"
"12","12","Riparian Areas"
"13","13","Streams"
"14","14","Rivers"
"15","15","Ponds (natural)"
"16","16","Ponds (artificial)"
"17","17","Lakes (natural)"
"18","18","Lakes (artificial)"
