"","id","name"
"1",22684,"Fert applic. anhyd knife 12 inch spacing, coil tine har"
"2",22685,"Fert applic. anhyd knife 12 inch spacing"
"3",22686,"Fert applic. broadcast by hand"
"4",22687,"Fert applic. coulter, high press. inject 12 inch spacing"
"5",22688,"Fert applic. deep plcmt hvy shnk"
"6",22689,"Fert applic. shank low disturb, 12 inch spacing, coil tine har"
"7",22690,"Fert applic. shank low disturb, 12 inch spacing"
"8",22691,"Fert applic. shank low disturb, 15 in spacing"
"9",22692,"Fert applic. side-dress, liquid"
"10",22693,"Fert applic. surface broadcast"
"11",22694,"Fert applic., aerial"
"12",22695,"Fert. applic. anhyd knife 15 inch spacing high disturb"
"13",22696,"Fert. applic. anhyd knife 15 inch spacing, coil tine har"
"14",22697,"Fert. applic. anhyd knife 15 inch spacing, high disturb, coil tine har"
"15",22698,"Fert. applic. anhyd knife 15 inch spacing"
"16",22699,"Fert. applic. anhyd knife 30 inch spacing, bedded"
"17",22700,"Fert. applic. anhyd knife 30 inch spacing"
"18",22701,"Fert. applic. anhyd, single disk, 30 inch spacing"
"19",22702,"Fert. applic. anhyd. knife 38 inch spacing"
"20",22703,"Fert. applic. knife, 10 inch depth, 30 to 40 inch spacing"
"21",22704,"Fert. applic. knife, dual apply, 15 inch spacing, high disturb"
"22",22705,"Fert. applic. liquid-dry, low disturb, precision, 30 inch spacing"
"23",22706,"Fert. applic. single disk, low disturb, 30 inch spacing"
"24",22707,"Manure injector, high disturb, 30 inch spacing"
"25",22708,"Manure injector, low disturb, 15 inch spacing"
"26",22709,"Manure injector, low disturb, 30 inch spacing"
"27",22710,"Manure spreader, liquid"
"28",22711,"Manure spreader, slurry"
"29",22712,"Manure spreader, solid and semi-solid"
"30",22713,"Manure, liquid, irrigation"
"31",22714,"Spray, selective herbicide, in growing crop"
"32",22715,"Sprayer, backpack, kill vegetation"
"33",22716,"Sprayer, backpack, post emergence"
"34",22717,"Sprayer, defoliant"
"35",22718,"Sprayer, fungicide, insecticide tank mix"
"36",22719,"Sprayer, kill cover in growing crop"
"37",22720,"Sprayer, kill crop"
"38",22721,"Sprayer, kill strips"
"39",22722,"Sprayer, post emerge, fungicide"
"40",22723,"Sprayer, post emerge, growth regulator"
"41",22724,"Sprayer, post emerge, insecticide"
"42",22725,"Sprayer, post emergence, fertilizer tank mix"
"43",22726,"Sprayer, post emergence"
"44",22727,"Sprayer, pre-emergence"
"45",22728,"Drip tape extractor"
"46",22729,"Drip tape injection shank on beds"
"47",22730,"Drip tape injection shank"
"48",22731,"Drip tape injector bed shaper"
"49",22732,"Irrigation (1 inch, Buried Drip)"
"50",22733,"Irrigation (1 inch, Pivot, Linear, Wheelline)"
"51",22734,"Irrigation (2 inch, Border, Furrow)"
"52",22735,"Irrigation (2 inch, Buried Drip)"
"53",22736,"Irrigation (2 inch, Pivot, Linear, Wheelline)"
"54",22737,"Irrigation (4 inch, Border, Furrow)"
"55",22738,"Irrigation (4 inch, Pivot, Linear, Wheelline)"
"56",22739,"Irrigation (Custom Depth, Border, Furrow)"
"57",22740,"Irrigation (Custom depth, Buried Drip)"
"58",22741,"Irrigation (Custom Depth, Pivot, Linear, Wheelline)"
"59",22742,"Irrigation, Start Monitor (Border, Furrow)"
"60",22743,"Irrigation, Start Monitor (Buried Drip)"
"61",22744,"Irrigation, Start Monitor (Flood)"
"62",22745,"Irrigation, Start Monitor (pivot, linear, wheelline)"
"63",22746,"Irrigation, Stop Monitor"
"64",22747,"Water mulch; off"
"65",22748,"Water mulch; on"
"66",22749,"Application, add mulch"
"67",22750,"Permeable weed barrier applicator 50 percent cover"
"68",22751,"Permeable weed barrier applicator, 100 percent cover"
"69",22752,"Permeable weed barrier applicator, 75 percent cover"
"70",22753,"Plastic mulch applicator 40 percent cover"
"71",22754,"Plastic mulch applicator 75 percent cover"
"72",22755,"Plastic or permeable weed barrier, removal"
"73",22756,"Application, add PAM"
"74",22757,"Application, bio-fabric mulch, BFM"
"75",22758,"Bulldozer, clearing-cutting light"
"76",22759,"Bulldozer, clearing-cutting"
"77",22760,"Bulldozer, filling-leveling"
"78",22761,"Burrowing, heavy, Prairie dog"
"79",22762,"Burrowing, light, Prairie dog"
"80",22763,"Burrowing, moderate, Prairie dog"
"81",22764,"Dozer track walking"
"82",22765,"Erosion blanket applicaton"
"83",22766,"Hydro-seeder"
"84",22767,"Log skidder"
"85",22768,"Mow pasture or road right of way leave forage"
"86",22769,"Paving"
"87",22770,"Road grader"
"88",22771,"Scalper, tree"
"89",22772,"Scarifier"
"90",22773,"Scraperpangrader, clearingcutting"
"91",22774,"Snow flattening"
"92",22775,"Graze, green, 25 pct removal"
"93",22776,"Graze, green, 50 pct removal"
"94",22777,"Graze, green, 75 pct removal"
"95",22778,"Graze, green, 90 pct removal"
"96",22779,"Graze, stubble or residue 25 pct"
"97",22780,"Graze, stubble or residue 50 pct"
"98",22781,"Graze, stubble or residue 75 pct"
"99",22782,"Harvest, biomass, fiber crop"
"100",22783,"Harvest, hay, grass or legume, kill crop"
"101",22784,"Harvest, hay, grass or legume"
"102",22785,"Harvest, silage, earlage"
"103",22786,"Harvest, silage, haylage"
"104",22787,"Harvest, silage, release"
"105",22788,"Harvest, silage"
"106",22789,"Harvest, sprig rototiller digger"
"107",22790,"Harvest, timber remove tops"
"108",22791,"Harvest, tree buck"
"109",22792,"Harvest, tree length logs"
"110",22793,"Harvest, tree pulpwood cut"
"111",22794,"Harvest, tree, Conifer, release"
"112",22795,"Harvest, trees, chipper"
"113",22796,"Harvest, woody biomass"
"114",22797,"Remove residue, bale 75 percent"
"115",22798,"Remove residue, forage chopper, complete"
"116",22799,"Remove residue, forage chopper, incomplete"
"117",22800,"Remove residue, forage chopper, intermediate"
"118",22801,"Sod cutter"
"119",22802,"Tree spade, holes left"
"120",22803,"Tree spade, holes plugged"
"121",22804,"Harvest, banana remove stem"
"122",22805,"Harvest, banana"
"123",22806,"Harvest, cotton"
"124",22807,"Harvest, cranberries"
"125",22808,"Harvest, cut flowers"
"126",22809,"Harvest, deep root crops, residue buried"
"127",22810,"Harvest, deep root crops, residue surface"
"128",22811,"Harvest, fruit crops"
"129",22812,"Harvest, grain from windrows"
"130",22813,"Harvest, grain, release"
"131",22814,"Harvest, hand pick, final"
"132",22815,"Harvest, hand pick, multiple"
"133",22816,"Harvest, hops"
"134",22817,"Harvest, killing crop 10pct standing stubble"
"135",22818,"Harvest, killing crop 20pct standing stubble, release"
"136",22819,"Harvest, killing crop 20pct standing stubble"
"137",22820,"Harvest, killing crop 30pct standing stubble"
"138",22821,"Harvest, killing crop 50pct standing stubble, release"
"139",22822,"Harvest, killing crop 50pct standing stubble"
"140",22823,"Harvest, killing crop 60pct standing stubble"
"141",22824,"Harvest, killing crop 70pct standing stubble"
"142",22825,"Harvest, knife, windrow, combine"
"143",22826,"Harvest, lavender bundles"
"144",22827,"Harvest, manual, leafy crop. multiple"
"145",22828,"Harvest, manual, leafy crops"
"146",22829,"Harvest, mechanical, leafy crop, final"
"147",22830,"Harvest, mechanical, leafy crop, multiple"
"148",22831,"Harvest, mechanical, leafy crops"
"149",22832,"Harvest, orchard and nut crops"
"150",22833,"Harvest, perennial, grass or legume seed"
"151",22834,"Harvest, plantains,stalks left"
"152",22835,"Harvest, plantains,stalks removed"
"153",22836,"Harvest, root crops, manual, 50 pct disturb"
"154",22837,"Harvest, rootcrops, manual, 100 pct disturb"
"155",22838,"Harvest, seed heads, manual"
"156",22839,"Harvest, shallow root crops, residue buried"
"157",22840,"Harvest, shallow root crops, residue surface"
"158",22841,"Harvest, stripper header"
"159",22842,"Harvest, sugarcane"
"160",22843,"Harvest, vegetable, manual, head, floret crops"
"161",22844,"Harvest, vegetable, mechanical, head, floret crops"
"162",22845,"Harvest, vine crops, mechanical"
"163",22846,"Harvest, vine crops"
"164",22847,"No Operation"
"165",22848,"Burn residue, high intensity"
"166",22849,"Burn residue, low intensity"
"167",22850,"Burn residue, moderate intensity"
"168",22851,"Chop veg. with machete"
"169",22852,"Detasseler, seed corn"
"170",22853,"Kill crop"
"171",22854,"Knife, windrow"
"172",22855,"Middle buster, digger"
"173",22856,"Mow, perennial vegetation"
"174",22857,"Mow, swath, windrow crop residue"
"175",22858,"Mow, swath, windrow crop"
"176",22859,"Mulch crimper"
"177",22860,"Pruning"
"178",22861,"Rake or windrower, crop residue"
"179",22862,"Residue removal by wind"
"180",22863,"Residue, row cleaner"
"181",22864,"Rice residue stomper"
"182",22865,"Roller, crimper, kill crop"
"183",22866,"Roller, residue incorporator"
"184",22867,"Roller, residue"
"185",22868,"Root Rake"
"186",22869,"Shredder, live, flail or rotary"
"187",22870,"Shredder, residue, flail or rotary"
"188",22871,"Shredder, residue, rotary, strips"
"189",22872,"Stalk chopper, residue, rolling, full width"
"190",22873,"Stalk chopper, residue, rolling, strips"
"191",22874,"Stalk puller"
"192",22875,"Stalk slicer"
"193",22876,"Weed control, string trimmer"
"194",22877,"Begin, growth"
"195",22878,"Drill or air seeder, 4 inch stealth openers on 12 in spac"
"196",22879,"Drill or air seeder, combo field cult, dd openers"
"197",22880,"Drill or air seeder, combo single disk-hoe openers, 10 in spac"
"198",22881,"Drill or air seeder, dble disk opnr, fluted coult 5x10 paired row"
"199",22882,"Drill or air seeder, double disk opener, fert openers"
"200",22883,"Drill or air seeder, double disk, fluted coulters"
"201",22884,"Drill or air seeder, double disk"
"202",22885,"Drill or air seeder, hoe opener in hvy residue, fert openers"
"203",22886,"Drill or air seeder, hoe opener in hvy residue"
"204",22887,"Drill or air seeder, hoe or chisel opener 12-15 in spac"
"205",22888,"Drill or air seeder, hoe or chisel openers 6-12 in spac"
"206",22889,"Drill or air seeder, hoe-chisel, 12-15 in spac., fert opnr"
"207",22890,"Drill or air seeder, hoe-chisel, 6-12 in spac., fert opnr"
"208",22891,"Drill or air seeder, offset double disk openers"
"209",22892,"Drill or air seeder, paired, single disk openers 6x9 in spac."
"210",22893,"Drill or air seeder, single disk openers 7-10 in spac."
"211",22894,"Drill or air seeder, single disk, with fert. opnr 7-10 inch spacing"
"212",22895,"Drill or air seeder, sweep or band opener"
"213",22896,"Drill or air seeder, tee slot openers 7-10 in spac."
"214",22897,"Drill, air seeder, 6 inch stealth openers on 12 in spac"
"215",22898,"Drill, deep furrow 12 to 18 in spacing"
"216",22899,"Drill, deep furrow 7 to 10 in spacing"
"217",22900,"Drill, double disk, 7-8 in packer C"
"218",22901,"Drill, heavy, direct seed, dbl disk opnr, row cleaners"
"219",22902,"Drill, heavy, direct seed, dbl disk opnr"
"220",22903,"Drill, range"
"221",22904,"Drill, semi-deep furrow 12 to 18 in spacing"
"222",22905,"Seeder, corrugated packer"
"223",22906,"Seeding, aerial, broadcast"
"224",22907,"Seeding, aerial, relay or interseed"
"225",22908,"Seeding, ground, relay or interseed"
"226",22909,"Sod installation"
"227",22910,"Planter, bedder, hipper, hiller, 6 inch beds"
"228",22911,"Planter, double disk opener on 12 inch high beds"
"229",22912,"Planter, double disk opener on 15 inch high beds"
"230",22913,"Planter, double disk opener on 18 inch high beds"
"231",22914,"Planter, double disk opener on 8 inch high beds"
"232",22915,"Planter, double disk opnr w fluted coulter with starter fertilizer"
"233",22916,"Planter, double disk opnr with starter fertilizer"
"234",22917,"Planter, double disk opnr, 15 inch row spacing"
"235",22918,"Planter, double disk opnr, 18 in rows"
"236",22919,"Planter, double disk opnr, 40 in rows"
"237",22920,"Planter, double disk opnr, fluted coulter, 15 in row sp"
"238",22921,"Planter, double disk opnr, fluted coulter"
"239",22922,"Planter, double disk opnr"
"240",22923,"Planter, furrow opener in 4 inch deep furrows"
"241",22924,"Planter, furrow opener in 6 inch deep furrows"
"242",22925,"Planter, furrow opener in 8 inch deep furrows"
"243",22926,"Planter, in-row subsoiler low disturb"
"244",22927,"Planter, in-row subsoiler, residue mgr"
"245",22928,"Planter, in-row subsoiler"
"246",22929,"Planter, low disturb, smooth or ripple coulter"
"247",22930,"Planter, relay or interseed"
"248",22931,"Planter, ridge till"
"249",22932,"Planter, runner opener"
"250",22933,"Planter, small seed, 8 inch beds"
"251",22934,"Planter, small seed, no beds"
"252",22935,"Planter, sprig conventional"
"253",22936,"Planter, sprig, no-till"
"254",22937,"Planter, sprigs, on beds"
"255",22938,"Planter, strip till, 22 inch"
"256",22939,"Planter, strip till, shallow subsoiler"
"257",22940,"Planter, strip till, subsoiler"
"258",22941,"Planter, strip till"
"259",22942,"Planter, transplanter, 8 inch beds"
"260",22943,"Planter, transplanter, no beds, no till"
"261",22944,"Planter, transplanter, no beds"
"262",22945,"Planter, tree, mechanical transplanter"
"263",22946,"Planter, twin row, double disk opener on 12 inch high beds"
"264",22947,"Planter, twin row, double disk opnr with fluted coulter"
"265",22948,"Planter, twin row, double disk opnr"
"266",22949,"Planting, manual, 8 inch beds"
"267",22950,"Planting, manual, no till"
"268",22951,"Planting, manual"
"269",22952,"Seeding, ground, broadcast"
"270",22953,"Continuous disturbance and smoothing"
"271",22954,"Cultivate, field, manual, high disturb"
"272",22955,"Cultivate, field, manual, low disturb"
"273",22956,"Cultivate, field, manual, moderate disturb"
"274",22957,"Cultivator, field 6-12 in shovels C"
"275",22958,"Cultivator, field 6-12 in sweeps, coil tine har"
"276",22959,"Cultivator, field 6-12 in sweeps"
"277",22960,"Cultivator, field, spike points, coil tine har"
"278",22961,"Cultivator, field, spike points"
"279",22962,"Disk, inter row strips"
"280",22963,"Disk, offset, heavy 12 in depth"
"281",22964,"Disk, offset, heavy 15 in depth"
"282",22965,"Disk, offset, heavy, roller, corr packer"
"283",22966,"Disk, offset, heavy, roller, smooth"
"284",22967,"Disk, offset, heavy"
"285",22968,"Disk, oxen strip 60 pct disturb"
"286",22969,"Disk, oxen, strip 30 pct disturb"
"287",22970,"Disk, single gang"
"288",22971,"Disk, tandem heavy primary, roller, smooth"
"289",22972,"Disk, tandem heavy primary"
"290",22973,"Disk, tandem light finishing"
"291",22974,"Disk, tandem secondary and rolling basket"
"292",22975,"Disk, tandem secondary"
"293",22976,"Disk, tandem, shallow, no kill crop"
"294",22977,"Sweep plow 20-40 in wide"
"295",22978,"Sweep plow wider than 40 inch, mulch treader"
"296",22979,"Sweep plow, under bed"
"297",22980,"Sweep plow, wider than 40 in"
"298",22981,"Sweep, single under row, regrow perennial"
"299",22982,"Sweep, single under row"
"300",22983,"Cultivator, flame"
"301",22984,"Cultivator, row, 1 inch ridge"
"302",22985,"Cultivator, row, 1st pass ridge till"
"303",22986,"Cultivator, row, 2nd pass ridge till"
"304",22987,"Cultivator, row, 3 inch ridge"
